tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
1,17,12,32,47,49,2,44,2011-05-22 23:00:00,300000000
2,7,45,26,18,21,15,31,2011-05-29 23:00:00,300000000
3,37,9,23,14,22,34,39,2011-06-05 23:00:00,300000000
4,22,32,43,17,18,33,25,2011-06-12 23:00:00,300000000
5,39,17,37,45,1,43,13,2011-06-19 23:00:00,300000000
6,27,29,4,43,37,45,8,2011-06-26 23:00:00,300000000
7,28,11,46,29,49,36,7,2011-07-03 23:00:00,300000000
8,2,7,19,42,46,4,21,2011-07-10 23:00:00,300000000
9,23,26,4,45,12,25,34,2011-07-17 23:00:00,300000000
10,27,34,16,17,36,37,7,2011-07-24 23:00:00,300000000
11,19,43,40,47,20,7,38,2011-07-31 23:00:00,300000000
12,4,9,39,29,23,41,16,2011-08-07 23:00:00,300000000
13,38,39,40,33,13,7,49,2011-08-14 23:00:00,300000000
14,20,11,9,16,27,19,15,2011-08-21 23:00:00,300000000
15,30,43,9,14,6,23,42,2011-08-28 23:00:00,300000000
16,9,38,5,20,7,35,1,2011-09-04 23:00:00,300000000
17,39,21,24,12,48,3,8,2011-09-11 23:00:00,300000000
18,45,25,8,47,31,13,1,2011-09-18 23:00:00,300000000
19,44,14,11,29,32,30,46,2011-09-25 23:00:00,300000000
20,43,16,27,12,24,34,26,2011-10-02 23:00:00,300000000
21,48,1,43,28,16,47,4,2011-10-09 23:00:00,300000000
22,4,44,6,34,20,47,28,2011-10-16 23:00:00,300000000
23,32,17,2,29,46,43,36,2011-10-23 23:00:00,300000000
24,43,4,30,16,44,28,22,2011-10-30 23:00:00,300000000
25,45,15,34,3,2,10,42,2011-11-06 23:00:00,300000000
26,32,19,46,25,15,14,5,2011-11-13 23:00:00,300000000
27,8,26,9,17,6,29,47,2011-11-20 23:00:00,300000000
28,34,23,18,29,30,11,13,2011-11-27 23:00:00,300000000
29,41,10,20,3,42,5,24,2011-12-04 23:00:00,300000000
30,36,37,22,1,44,48,33,2011-12-11 23:00:00,300000000
31,10,35,40,25,20,14,29,2011-12-18 23:00:00,300000000
32,20,26,8,16,45,9,31,2011-12-25 23:00:00,300000000
33,12,1,33,24,11,4,9,2012-01-08 23:00:00,300000000
34,41,1,48,28,47,16,31,2012-01-15 23:00:00,300000000
35,39,41,25,29,45,21,46,2012-01-22 23:00:00,300000000
36,38,14,24,12,18,15,36,2012-01-29 23:00:00,300000000
37,38,14,23,35,9,43,8,2012-02-05 23:00:00,300000000
38,45,34,28,2,9,10,27,2012-02-12 23:00:00,300000000
39,9,48,28,12,36,43,25,2012-02-19 23:00:00,300000000
40,15,17,20,11,31,43,13,2012-02-26 23:00:00,300000000
41,19,29,41,45,10,6,38,2012-03-04 23:00:00,300000000
42,27,38,25,29,1,3,47,2012-03-11 23:00:00,300000000
43,28,16,27,3,9,42,31,2012-03-18 23:00:00,300000000
44,35,6,16,18,28,14,26,2012-03-25 23:00:00,300000000
45,12,43,4,36,9,27,47,2012-04-01 23:00:00,300000000
46,17,27,14,9,26,11,33,2012-04-08 23:00:00,300000000
47,40,42,21,4,26,32,47,2012-04-15 23:00:00,300000000
48,49,44,28,16,21,8,1,2012-04-22 23:00:00,300000000
49,27,12,37,36,10,42,23,2012-04-29 23:00:00,300000000
50,19,6,12,21,36,48,34,2012-05-06 23:00:00,300000000
51,24,17,33,26,39,23,41,2012-05-13 23:00:00,300000000
52,4,8,12,3,16,23,15,2012-05-20 23:00:00,300000000
