iter	Passed	Remaining
0	12	12295
1	24	11978
2	35	11940
3	48	12195
4	60	12022
5	71	11809
6	82	11752
7	94	11757
8	104	11540
9	116	11486
10	128	11532
11	139	11468
12	151	11506
13	163	11504
14	173	11408
15	185	11382
16	195	11325
17	206	11277
18	217	11224
19	227	11156
20	239	11161
21	253	11248
22	265	11263
23	277	11280
24	289	11309
25	306	11469
26	320	11545
27	331	11501
28	343	11488
29	352	11411
30	363	11362
31	373	11291
32	384	11272
33	395	11242
34	406	11206
35	416	11148
36	426	11103
37	439	11114
38	450	11097
39	462	11094
40	473	11068
41	485	11065
42	496	11055
43	507	11026
44	518	11002
45	529	10973
46	540	10955
47	548	10876
48	560	10885
49	574	10912
50	587	10939
51	598	10918
52	609	10896
53	622	10902
54	633	10886
55	643	10848
56	654	10830
57	666	10819
58	677	10800
59	687	10772
60	698	10754
61	709	10729
62	721	10733
63	733	10722
64	745	10730
65	756	10710
66	769	10714
67	781	10707
68	793	10704
69	803	10678
70	814	10653
71	825	10636
72	835	10610
73	845	10584
74	906	11180
75	929	11304
76	942	11296
77	968	11444
78	978	11413
79	989	11382
80	1000	11350
81	1011	11324
82	1022	11292
83	1032	11260
84	1043	11233
85	1054	11202
86	1064	11168
87	1075	11146
88	1089	11149
89	1099	11116
90	1111	11104
91	1123	11083
92	1133	11058
93	1145	11037
94	1157	11025
95	1168	11004
96	1179	10980
97	1190	10958
98	1202	10943
99	1213	10918
100	1223	10894
101	1236	10884
102	1247	10868
103	1259	10848
104	1270	10829
105	1281	10807
106	1292	10789
107	1304	10776
108	1314	10746
109	1325	10722
110	1336	10700
111	1346	10678
112	1358	10661
113	1374	10681
114	1393	10725
115	1411	10752
116	1429	10790
117	1454	10873
118	1479	10956
119	1496	10974
120	1515	11009
121	1531	11021
122	1550	11051
123	1565	11056
124	1582	11079
125	1599	11091
126	1617	11118
127	1635	11144
128	1657	11189
129	1674	11208
130	1695	11247
131	1715	11278
132	1732	11295
133	1750	11312
134	1768	11333
135	1788	11362
136	1806	11379
137	1829	11429
138	1853	11481
139	1872	11505
140	1892	11526
141	1912	11555
142	1933	11584
143	1951	11600
144	1968	11605
145	1989	11637
146	2012	11676
147	2033	11705
148	2053	11729
149	2073	11747
150	2092	11762
151	2111	11780
152	2130	11791
153	2152	11824
154	2174	11854
155	2194	11871
156	2212	11882
157	2232	11898
158	2254	11923
159	2273	11937
160	2293	11950
161	2313	11964
162	2334	11985
163	2357	12018
164	2377	12033
165	2397	12046
166	2417	12057
167	2436	12067
168	2457	12083
169	2477	12098
170	2497	12105
171	2521	12140
172	2541	12146
173	2562	12163
174	2581	12170
175	2601	12177
176	2621	12189
177	2641	12196
178	2662	12212
179	2688	12247
180	2709	12258
181	2728	12262
182	2746	12263
183	2767	12271
184	2786	12276
185	2805	12279
186	2824	12281
187	2845	12291
188	2871	12320
189	2892	12330
190	2912	12334
191	2932	12339
192	2952	12344
193	2969	12337
194	2988	12337
195	3010	12348
196	3034	12368
197	3053	12367
198	3074	12374
199	3093	12375
200	3113	12376
201	3132	12376
202	3152	12377
203	3173	12383
204	3197	12400
205	3218	12405
206	3240	12412
207	3259	12409
208	3278	12408
209	3299	12411
210	3318	12410
211	3342	12423
212	3362	12422
213	3382	12422
214	3403	12425
215	3422	12424
216	3442	12421
217	3461	12416
218	3483	12421
219	3505	12429
220	3524	12424
221	3546	12427
222	3566	12427
223	3587	12426
224	3607	12427
225	3628	12426
226	3650	12432
227	3671	12432
228	3691	12427
229	3711	12426
230	3730	12420
231	3752	12420
232	3772	12418
233	3794	12419
234	3816	12424
235	3837	12424
236	3859	12424
237	3878	12417
238	3898	12412
239	3919	12411
240	3939	12405
241	3962	12409
242	3982	12404
243	4001	12397
244	4021	12393
245	4041	12387
246	4060	12379
247	4080	12374
248	4101	12371
249	4125	12377
250	4145	12370
251	4165	12364
252	4183	12351
253	4203	12344
254	4223	12337
255	4245	12339
256	4268	12340
257	4287	12331
258	4308	12325
259	4330	12324
260	4349	12315
261	4369	12309
262	4390	12303
263	4407	12288
264	4430	12287
265	4449	12278
266	4469	12268
267	4488	12259
268	4507	12249
269	4528	12243
270	4548	12234
271	4571	12236
272	4590	12223
273	4610	12216
274	4631	12210
275	4651	12202
276	4671	12194
277	4691	12183
278	4711	12174
279	4737	12181
280	4758	12175
281	4779	12168
282	4797	12154
283	4815	12141
284	4835	12131
285	4854	12120
286	4878	12119
287	4897	12107
288	4916	12094
289	4934	12081
290	4951	12062
291	4969	12048
292	4989	12038
293	5007	12025
294	5028	12016
295	5051	12013
296	5070	12001
297	5089	11989
298	5108	11977
299	5129	11969
300	5150	11961
301	5170	11949
302	5194	11949
303	5215	11941
304	5235	11929
305	5254	11917
306	5273	11904
307	5294	11894
308	5313	11883
309	5335	11876
310	5357	11868
311	5377	11857
312	5395	11842
313	5413	11828
314	5433	11814
315	5452	11803
316	5474	11794
317	5494	11784
318	5518	11780
319	5538	11768
320	5553	11747
321	5574	11738
322	5594	11726
323	5613	11712
324	5633	11700
325	5651	11683
326	5676	11683
327	5697	11672
328	5716	11659
329	5735	11645
330	5754	11630
331	5774	11618
332	5794	11605
333	5814	11594
334	5838	11589
335	5857	11576
336	5874	11557
337	5894	11545
338	5913	11531
339	5932	11515
340	5950	11499
341	5971	11489
342	5996	11485
343	6012	11466
344	6032	11452
345	6052	11440
346	6070	11424
347	6091	11413
348	6112	11402
349	6133	11391
350	6155	11381
351	6177	11373
352	6199	11362
353	6218	11347
354	6237	11333
355	6256	11317
356	6274	11301
357	6300	11297
358	6319	11283
359	6340	11271
360	6359	11256
361	6378	11242
362	6398	11228
363	6418	11214
364	6441	11205
365	6460	11190
366	6479	11176
367	6498	11160
368	6518	11147
369	6535	11127
370	6554	11112
371	6571	11092
372	6592	11081
373	6613	11069
374	6632	11053
375	6650	11036
376	6669	11021
377	6691	11010
378	6711	10996
379	6730	10981
380	6753	10972
381	6773	10958
382	6792	10941
383	6811	10926
384	6831	10913
385	6850	10896
386	6871	10884
387	6891	10869
388	6914	10860
389	6935	10847
390	6956	10834
391	6977	10821
392	6996	10805
393	7016	10792
394	7037	10778
395	7061	10771
396	7081	10756
397	7099	10738
398	7118	10723
399	7138	10708
400	7157	10691
401	7174	10672
402	7193	10656
403	7215	10644
404	7240	10637
405	7260	10622
406	7278	10605
407	7297	10588
408	7316	10572
409	7336	10557
410	7355	10541
411	7377	10528
412	7400	10518
413	7420	10503
414	7440	10488
415	7460	10472
416	7479	10456
417	7494	10435
418	7512	10417
419	7529	10398
420	7553	10388
421	7574	10374
422	7590	10353
423	7605	10331
424	7623	10313
425	7639	10293
426	7660	10279
427	7680	10264
428	7700	10248
429	7719	10232
430	7737	10214
431	7759	10201
432	7777	10184
433	7796	10168
434	7815	10151
435	7837	10138
436	7858	10124
437	7878	10108
438	7896	10091
439	7917	10077
440	7937	10061
441	7957	10045
442	7976	10029
443	7997	10015
444	8016	9997
445	8036	9981
446	8056	9966
447	8077	9952
448	8098	9938
449	8119	9923
450	8139	9908
451	8164	9898
452	8183	9882
453	8201	9863
454	8221	9847
455	8240	9830
456	8260	9815
457	8280	9799
458	8303	9786
459	8324	9772
460	8344	9756
461	8364	9740
462	8384	9724
463	8403	9707
464	8422	9690
465	8442	9674
466	8465	9662
467	8490	9651
468	8508	9633
469	8528	9616
470	8546	9599
471	8565	9581
472	8586	9566
473	8608	9552
474	8631	9540
475	8652	9524
476	8670	9506
477	8690	9490
478	8710	9474
479	8727	9455
480	8746	9437
481	8765	9419
482	8788	9406
483	8809	9392
484	8830	9376
485	8849	9359
486	8869	9342
487	8888	9325
488	8909	9309
489	8929	9294
490	8950	9278
491	8970	9262
492	8990	9246
493	9011	9230
494	9029	9212
495	9047	9193
496	9068	9178
497	9090	9163
498	9113	9149
499	9134	9134
500	9153	9117
501	9173	9100
502	9187	9077
503	9207	9061
504	9228	9045
505	9252	9033
506	9271	9015
507	9289	8996
508	9309	8980
509	9330	8965
510	9353	8950
511	9367	8928
512	9388	8913
513	9406	8894
514	9425	8876
515	9445	8859
516	9463	8841
517	9482	8823
518	9503	8808
519	9524	8791
520	9546	8776
521	9569	8763
522	9589	8746
523	9608	8728
524	9628	8711
525	9649	8695
526	9669	8678
