"Источник трафика","Источник трафика (детально)","Тип площадки","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Переходы из поисковых систем","Яндекс","Не определено","5383","4036","0.13078209177038827","1.76332899869961","00:03:13"
"Прямые заходы","Не определено","Не определено","1073","676","0.16309412861137","1.7381174277726001","00:02:35"
"Внутренние переходы","Не определено","Не определено","91","42","0.12087912087912088","9.67032967032967","00:10:49"
"Переходы по ссылкам на сайтах","eva.ru","Не определено","61","58","0.26229508196721313","1.1311475409836065","00:00:58"
"Переходы по ссылкам на сайтах","антироссийскиесанкции.рф","Не определено","44","15","0.045454545454545456","1.6590909090909092","00:00:38"
"Переходы из социальных сетей","ВКонтакте","Не определено","41","6","0.0","2.682926829268293","00:02:57"
"Переходы по ссылкам на сайтах","e.mail.ru","Не определено","38","5","0.02631578947368421","1.763157894736842","00:04:28"
"Переходы из поисковых систем","Google","Не определено","35","29","0.2","1.8571428571428572","00:02:00"
"Переходы по ссылкам на сайтах","iframe-yang.yandex","Не определено","18","15","0.05555555555555555","2.1666666666666665","00:01:37"
"Переходы из социальных сетей","Одноклассники","Не определено","14","14","0.21428571428571427","1.0714285714285714","00:00:16"
"Переходы по ссылкам на сайтах","siebel.raiffeisen.ru","Не определено","6","6","0.33333333333333326","1.1666666666666667","00:00:41"
"Переходы по ссылкам на сайтах","weixin110.qq.com","Не определено","6","5","0.16666666666666663","1.5","00:01:41"
"Переходы из мессенджеров","Telegram","Не определено","6","4","0.0","1.8333333333333333","00:04:00"
"Переходы по ссылкам на сайтах","webstripe.bitrix24.ru","Не определено","4","3","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Rambler","Не определено","4","4","0.0","1.5","00:03:18"
"Переходы с сохранённых страниц","Не определено","Не определено","4","4","0.0","1.75","00:12:41"
"Переходы по ссылкам на сайтах","office.arima.ru","Не определено","2","1","0.0","1.5","00:00:35"
"Не определено","Не определено","Не определено","2","2","0.5","2.0","00:00:10"
"Переходы из мессенджеров","Skype","Не определено","2","2","0.5","1.5","00:16:20"
"Переходы по ссылкам на сайтах","lgeeuazms14.lge.com","Не определено","1","1","0.0","1.0","00:00:19"
"Переходы по ссылкам на сайтах","lgeeuazms22.lge.com","Не определено","1","1","1.0","1.0","00:00:07"
"Переходы по ссылкам на сайтах","nova.rambler.ru","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","recharge.bitrix24.ru","Не определено","1","1","0.0","2.0","00:02:29"
"Переходы по ссылкам на сайтах","search-drru.dt.dbankcloud.com","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","spros.work","Не определено","1","1","0.0","2.0","00:01:04"
"Переходы из поисковых систем","DuckDuckGo","Не определено","1","1","0.0","3.0","00:06:56"
