"Поисковая фраза","Поисковая система","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"санкционные списки","Яндекс","134","126","0.04477611940298507","1.7985074626865671","00:02:55"
"список компаний под санкциями","Яндекс","82","73","0.036585365853658534","1.353658536585366","00:02:08"
"санкционный список сша","Яндекс","75","70","0.16","1.6133333333333333","00:02:46"
"санкционный список","Яндекс","67","60","0.059701492537313425","1.3134328358208955","00:03:36"
"список санкционных компаний","Яндекс","67","51","0.029850746268656712","2.4477611940298507","00:03:45"
"дунайская комиссия исключение россии","Яндекс","56","5","0.17857142857142858","11.0","00:15:05"
"список компаний под санкциями 2024","Яндекс","41","32","0.04878048780487805","1.3658536585365855","00:03:58"
"проверить организацию на санкции","Яндекс","39","5","0.1282051282051282","1.2564102564102564","00:01:00"
"полный список предприятий под санкциями","Яндекс","35","3","0.0","1.0571428571428572","00:00:44"
"санкционные списки ес официальный сайт","Яндекс","35","27","0.11428571428571428","1.8857142857142857","00:02:54"
"список организаций под санкциями","Яндекс","35","14","0.05714285714285714","1.2571428571428571","00:02:04"
"ofac sanctions list","Яндекс","34","30","0.35294117647058826","1.2647058823529411","00:03:08"
"anti-russian-sanction","Яндекс","28","4","0.10714285714285714","22.892857142857142","00:33:41"
"2901201732 санкции","Яндекс","27","1","0.0","1.037037037037037","00:01:33"
"где проверить российскую компанию на санкции cif","Яндекс","26","1","0.0","1.2692307692307692","00:04:48"
"компании под санкциями список 2024","Яндекс","24","24","0.04166666666666666","1.375","00:02:39"
"санкционный список ес","Яндекс","24","23","0.125","1.4166666666666667","00:02:54"
"санкционный список компаний","Яндекс","23","23","0.043478260869565216","1.2608695652173914","00:03:39"
"список российских компаний под санкциями","Яндекс","18","15","0.0","2.0","00:04:20"
"санкции ofac и ес обзор 2024","Яндекс","17","1","0.1176470588235294","2.764705882352941","00:04:11"
"санкционные списки компаний","Яндекс","17","17","0.0","1.1764705882352942","00:03:16"
"санкционные списки сша","Яндекс","17","16","0.1176470588235294","1.5294117647058822","00:06:13"
"санкционный список россии","Яндекс","15","15","0.2","1.2","00:01:39"
"список санкционных компаний россии","Яндекс","15","12","0.0","1.0","00:02:41"
"список санкционных предприятий россии на сегодня","Яндекс","15","13","0.13333333333333333","1.8","00:04:12"
"список российских компаний под санкциями 2024","Яндекс","14","13","0.07142857142857142","1.0714285714285714","00:07:46"
"полный список компаний под санкциями","Яндекс","13","7","0.0","5.0","00:24:06"
"список компаний попавших под санкции","Яндекс","12","12","0.08333333333333331","1.4166666666666667","00:02:32"
"перечень организаций под санкциями 2023 года","Яндекс","11","1","0.0","1.0909090909090908","00:06:43"
"реестр санкционных компаний","Яндекс","11","11","0.09090909090909091","2.0","00:02:26"
"санкционные списки физических лиц россии на сегодня","Яндекс","11","10","0.0","3.0","00:05:17"
"санкционный список компаний рф","Яндекс","11","10","0.0","1.6363636363636365","00:05:37"
"список организаций под санкциями 2024","Яндекс","11","10","0.0","1.0","00:01:36"
"список предприятий попавших под санкции","Яндекс","11","9","0.0","1.2727272727272727","00:04:36"
"список организаций попавших под санкции","Яндекс","10","10","0.1","1.5","00:05:39"
"список предприятий под санкциями","Яндекс","10","10","0.0","2.2","00:11:11"
"полный список санкционных компаний","Яндекс","9","8","0.0","1.7777777777777777","00:03:48"
"санкции список компаний","Яндекс","9","9","0.2222222222222222","1.2222222222222223","00:01:51"
"санкционные компании россии список","Яндекс","9","9","0.1111111111111111","1.4444444444444444","00:06:38"
"санкционный список ес 2024","Яндекс","9","9","0.2222222222222222","1.4444444444444444","00:03:26"
"санкционный список компаний россии","Яндекс","9","9","0.1111111111111111","1.2222222222222223","00:02:35"
"санкционный список юридических лиц россии","Яндекс","9","7","0.0","3.2222222222222223","00:04:56"
"как узнать находится ли компания под санкциями","Яндекс","8","3","0.0","1.5","00:04:18"
"реестр компаний под санкциями","Яндекс","8","7","0.0","1.125","00:01:36"
"российские компании под санкциями список","Яндекс","8","8","0.0","1.375","00:01:13"
"санкционный список российских компаний","Яндекс","8","8","0.125","2.0","00:03:49"
"список юр лиц под санкциями","Яндекс","8","8","0.0","1.25","00:11:52"
"russia-eo14024","Яндекс","7","4","0.2857142857142857","1.7142857142857142","00:02:06"
"предприятия под санкциями список","Яндекс","7","7","0.0","2.4285714285714284","00:09:25"
"санкционные списки ес","Яндекс","7","7","0.2857142857142857","1.0","00:00:35"
"санкционные списки компаний россии 2023 проверить","Яндекс","7","6","0.0","2.5714285714285716","00:02:58"
"санкционный список предприятий россии 2024","Яндекс","7","7","0.0","1.0","00:05:41"
